"","PUlocationID","type","weight"
"244",84,"Lyft",14.230840507438
"245",84,"Uber",85.705140084573
"246",84,"Via",0.0640194079889482
"247",85,"Lyft",17.7576715343786
"248",85,"Uber",81.7190838106274
"249",85,"Via",0.523244654993964
"250",86,"Lyft",25.3184204254132
"251",86,"Uber",74.6496067340615
"252",86,"Via",0.0319728405252847
"253",87,"Lyft",18.4640632739957
"254",87,"Uber",72.9156918466396
"255",87,"Via",8.62024487936474
"256",88,"Lyft",21.4199914915625
"257",88,"Uber",66.592704431895
"258",88,"Via",11.9873040765426
"259",89,"Lyft",20.9468189864699
"260",89,"Uber",78.485175635156
"261",89,"Via",0.568005378374054
"262",90,"Lyft",17.5136697979705
"263",90,"Uber",75.1395689064281
"264",90,"Via",7.34676129560138
"265",91,"Lyft",16.0531957721491
"266",91,"Uber",83.6394259877788
"267",91,"Via",0.307378240072021
"268",92,"Lyft",17.8722737969079
"269",92,"Uber",81.878223733029
"270",92,"Via",0.249502470063107
"271",93,"Lyft",20.407408213454
"272",93,"Uber",79.1761880925954
"273",93,"Via",0.416403693950539
"274",94,"Lyft",12.0741274112252
"275",94,"Uber",87.7802832202726
"276",94,"Via",0.145589368502166
"277",95,"Lyft",23.882703183688
"278",95,"Uber",75.7843373217234
"279",95,"Via",0.332959494588659
"280",96,"Lyft",11.808716580338
"281",96,"Uber",88.0683304557108
"282",96,"Via",0.122952963951237
"283",97,"Lyft",28.63763898992
"284",97,"Uber",68.8740171117808
"285",97,"Via",2.48834389829921
"286",98,"Lyft",18.0684479304799
"287",98,"Uber",81.7983804982648
"288",98,"Via",0.133171571255255
"289",99,"Lyft",10.5143598896641
"290",99,"Uber",89.4856401103359
"291",100,"Lyft",17.0303848551583
"292",100,"Uber",77.2013373221832
"293",100,"Via",5.76827782265849
"294",101,"Lyft",20.0636008215767
"295",101,"Uber",79.8586824637785
"296",101,"Via",0.0777167146448425
"297",102,"Lyft",23.0939512341225
"298",102,"Uber",76.7110941690605
"299",102,"Via",0.194954596817012
"300",105,"Lyft",52.1739130434783
"301",105,"Uber",47.8260869565217
"302",106,"Lyft",35.4048639820344
"303",106,"Uber",62.7445601320199
"304",106,"Via",1.85057588594566
"305",107,"Lyft",17.0891504242455
"306",107,"Uber",72.770080379934
"307",107,"Via",10.1407691958205
"308",108,"Lyft",12.6333020772079
"309",108,"Uber",87.0830088523704
"310",108,"Via",0.28368907042164
"311",109,"Lyft",14.9310068993101
"312",109,"Uber",85.0602439756024
"313",109,"Via",0.00874912508749125
"314",110,"Lyft",7.9136690647482
"315",110,"Uber",92.0863309352518
"316",111,"Lyft",17.3785354019026
"317",111,"Uber",82.2192428015067
"318",111,"Via",0.402221796590691
"319",112,"Lyft",33.9502616573113
"320",112,"Uber",61.6950775229694
"321",112,"Via",4.35466081971926
"322",113,"Lyft",18.7593573012758
"323",113,"Uber",72.8822122952454
"324",113,"Via",8.35843040347882
"325",114,"Lyft",19.1690646064094
"326",114,"Uber",74.8484176828697
"327",114,"Via",5.98251771072091
"328",115,"Lyft",22.5026834642111
"329",115,"Uber",77.3911078470143
"330",115,"Via",0.106208688774645
"331",116,"Lyft",20.8710659741031
"332",116,"Uber",74.7896664905349
"333",116,"Via",4.33926753536206
"334",117,"Lyft",24.201429427426
"335",117,"Uber",75.7306202627824
"336",117,"Via",0.0679503097916396
"337",118,"Lyft",18.2655049446712
"338",118,"Uber",81.7139075769273
"339",118,"Via",0.0205874784015294
"340",119,"Lyft",10.4270196150891
"341",119,"Uber",89.4050640707712
"342",119,"Via",0.167916314139656
"343",120,"Lyft",2.42166080274878
"344",120,"Uber",97.0464681171528
"345",120,"Via",0.531871080098373
"346",121,"Lyft",20.571650892546
"347",121,"Uber",79.1930206608109
"348",121,"Via",0.235328446643125
"349",122,"Lyft",23.0980751604033
"350",122,"Uber",76.752741869212
"351",122,"Via",0.149182970384652
"352",123,"Lyft",12.1122323980633
"353",123,"Uber",87.6097143634914
"354",123,"Via",0.278053238445235
"355",124,"Lyft",18.6105316713304
"356",124,"Uber",81.2465021622997
"357",124,"Via",0.14296616636988
"358",125,"Lyft",18.4349221701254
"359",125,"Uber",75.7208870947018
"360",125,"Via",5.84419073517284
"361",126,"Lyft",12.0709617958586
"362",126,"Uber",87.7782872280809
"363",126,"Via",0.150750976060467
"364",127,"Lyft",17.0841652398054
"365",127,"Uber",80.8137127032891
"366",127,"Via",2.10212205690549
"367",128,"Lyft",14.5471986218237
"368",128,"Uber",82.827610508594
"369",128,"Via",2.62519086958224
"370",129,"Lyft",21.2217273229469
"371",129,"Uber",78.5522071520457
"372",129,"Via",0.226065525007436
"373",130,"Lyft",20.838674400532
"374",130,"Uber",78.9964869130501
"375",130,"Via",0.164838686417933
"376",131,"Lyft",19.4516474643645
"377",131,"Uber",80.3496009440701
"378",131,"Via",0.198751591565479
