"","hour","wday","type","n"
"435",20,"Thursday","Via",89077
"436",20,"Tuesday","Lyft",287878
"437",20,"Tuesday","Uber",1166533
"438",20,"Tuesday","Via",85717
"439",20,"Wednesday","Lyft",303827
"440",20,"Wednesday","Uber",1237397
"441",20,"Wednesday","Via",86091
"442",21,"Friday","Lyft",403060
"443",21,"Friday","Uber",1441491
"444",21,"Friday","Via",74653
"445",21,"Monday","Lyft",270301
"446",21,"Monday","Uber",1016932
"447",21,"Monday","Via",59645
"448",21,"Saturday","Lyft",434658
"449",21,"Saturday","Uber",1512831
"450",21,"Saturday","Via",67754
"451",21,"Sunday","Lyft",321136
"452",21,"Sunday","Uber",1043378
"453",21,"Sunday","Via",47565
"454",21,"Thursday","Lyft",341776
"455",21,"Thursday","Uber",1329522
"456",21,"Thursday","Via",79182
"457",21,"Tuesday","Lyft",282750
"458",21,"Tuesday","Uber",1134875
"459",21,"Tuesday","Via",72461
"460",21,"Wednesday","Lyft",303349
"461",21,"Wednesday","Uber",1210447
"462",21,"Wednesday","Via",74640
"463",22,"Friday","Lyft",437451
"464",22,"Friday","Uber",1505721
"465",22,"Friday","Via",72706
"466",22,"Monday","Lyft",257879
"467",22,"Monday","Uber",930296
"468",22,"Monday","Via",45871
"469",22,"Saturday","Lyft",461579
"470",22,"Saturday","Uber",1563794
"471",22,"Saturday","Via",68145
"472",22,"Sunday","Lyft",309305
"473",22,"Sunday","Uber",986960
"474",22,"Sunday","Via",40205
"475",22,"Thursday","Lyft",343827
"476",22,"Thursday","Uber",1304501
"477",22,"Thursday","Via",66707
"478",22,"Tuesday","Lyft",276982
"479",22,"Tuesday","Uber",1073739
"480",22,"Tuesday","Via",58327
"481",22,"Wednesday","Lyft",294252
"482",22,"Wednesday","Uber",1160921
"483",22,"Wednesday","Via",63005
"484",23,"Friday","Lyft",434524
"485",23,"Friday","Uber",1504764
"486",23,"Friday","Via",66233
"487",23,"Monday","Lyft",226897
"488",23,"Monday","Uber",756273
"489",23,"Monday","Via",31066
"490",23,"Saturday","Lyft",478955
"491",23,"Saturday","Uber",1589514
"492",23,"Saturday","Via",65518
"493",23,"Sunday","Lyft",269957
"494",23,"Sunday","Uber",836454
"495",23,"Sunday","Via",29947
"496",23,"Thursday","Lyft",314721
"497",23,"Thursday","Uber",1129205
"498",23,"Thursday","Via",49894
"499",23,"Tuesday","Lyft",249413
"500",23,"Tuesday","Uber",870534
"501",23,"Tuesday","Via",38809
"502",23,"Wednesday","Lyft",268792
"503",23,"Wednesday","Uber",978049
"504",23,"Wednesday","Via",44181
